,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,Injuries,Species
338,Unprovoked,Spearfishing,M,50,Minor injury,N,,Injured,Regular Shark
339,Unprovoked,Body boarding,M,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,,Injured,Regular Shark
340,Unprovoked,Surfing,M,42,"Lacerations to right calf, knee & hip",N,"White shark, 3 to 3.5m ",Injured,White Shark
341,Unprovoked,Surfing,M,21,Lacerations to left hand,N,5' shark,Injured,Regular Shark
342,Unprovoked,Surfing,M,21,Left foot bitten,N,"Spinner shark, 5'",Injured,Regular Shark
343,Unprovoked,Fishing for shrimp,F,35,FATAL,Y,,Injured,Regular Shark
344,Invalid,Surfing,M,32,Left foot bitten by eel,,No shark involvement,Injured,Regular Shark
345,Unprovoked,Swimming,M,44,Severe injuries to lower legs. Foot later surgically amputated.,N,"Tiger shark, 7'",Injured,Tiger Shark
347,Unprovoked,Boogie boarding,F,9,Laceration to forearm,N,,Injured,Regular Shark
348,Unprovoked,Surfing,M,25,"Left leg severed below the knee, defense injuries to left hand",N,"Tiger shark, 13' ",Injured,Tiger Shark
349,Unprovoked,Fishing,M,,"Arm severely injured, surgically amputated",N,,Injured,Regular Shark
350,Unprovoked,Surfing,M,18,Foot injured,N,,Injured,Regular Shark
351,Unprovoked,Body boarding,M,22,2 lacerations to ankle,N,,Injured,Regular Shark
352,Unprovoked,Wading,M,13,Foot & hands bitten,N,4' to 5' shark,Injured,Regular Shark
353,Unprovoked,Surfing,M,14,Severe lacerations to left hand,N,"Blacktip shark, 4' to 5'",Injured,Regular Shark
354,Unprovoked,Surfing,M,22,"Laceration to heel, puncture wounds to dorsum of foot",N,"Blacktip shark, 5' to 6'",Injured,Regular Shark
355,Unprovoked,Snorkeling,F,7,Laceration to leg,N,,Injured,Regular Shark
357,Unprovoked,Surfing,M,14,Minor injury to left ankle,N,juvenile shark,Injured,Regular Shark
358,Unprovoked,Spearfishing,M,27,Severe laceration to left leg,N,"Tiger shark, 13'",Injured,Tiger Shark
359,Unprovoked,Wading,M,12,Significant injuries to leg,N,4' shark,Injured,Regular Shark
360,Unprovoked,Photographing fish,M,16,Injury to right hand / wrist,N,,Injured,Regular Shark
362,Unprovoked,Swimming,M,,Lacerations to calf,N,,Injured,Regular Shark
363,Unprovoked,Surfing,M,20,Injury to right foot,N,,Injured,Regular Shark
364,Unprovoked,Surfing,M,42,Minor laceration to hand,N,6' shark,Injured,Regular Shark
366,Provoked,Kayak Fishing,M,29,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,Hammerhead shark.,Injured,Regular Shark
367,Unprovoked,Surf-skiing,M,62,Inuries to lower left leg & ankle,N,"White shark, 2.5 m",Injured,White Shark
368,Unprovoked,,M,,Right foot bitten,N,4' shark?,Injured,Regular Shark
369,Unprovoked,Wading,F,37,Left foot & ankle bitten,N,small shark,Injured,Regular Shark
370,Unprovoked,Spearfishing,M,,Leg bitten,N,Tiger shark,Injured,Tiger Shark
373,Invalid,,M,,Wound to right lower leg,,Shark involvement not confirmed,Injured,Regular Shark
374,Unprovoked,Surfing,M,38,Severe laceration to left buttock & thigh,N,,Injured,Regular Shark
375,Unprovoked,Surfing,M,15,"Injuries to left calf, arm and hand",N,4' shark,Injured,Regular Shark
376,Unprovoked,Walking,F,10,Lacerations to right leg,N,3' shark,Injured,Regular Shark
378,Invalid,Swimming,M,10,Minor injury when he attempted to touch a fish. ,,Shark involvement not confirmed,Injured,Regular Shark
379,Provoked,Spearfishing,M,57,Right hand bitten  PROVOKED INCIDENT,N,Hammerhead shark. 6' to 7',Injured,Regular Shark
380,Unprovoked,Surfing,M,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,White shark,Injured,White Shark
381,Unprovoked,Surfing,M,47,Minor inuries to toes,N,,Injured,Regular Shark
382,,Surfing,M,40,Injury to hand,,,Injured,Regular Shark
383,Unprovoked,Surfing,M,25,Minor injury to sole of foot,N,"Blacktip or spinner shark, 4'",Injured,Regular Shark
384,Invalid,Floating,F,35,"2' cut to dorsum of foot, 2 puncture wounds to sole",,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",Injured,Regular Shark
385,Unprovoked,Scallop diving on hookah,M,46,FATAL,Y,"White shark, 3.9 to 4.2 m",Injured,White Shark
387,Unprovoked,Surfing,M,40,Left hand bitten,N,"Bronze whaler shark, 1.5m",Injured,Regular Shark
388,Unprovoked,Surfing,M,45,Arm bitten,N,"Bull shark, 2m",Injured,Regular Shark
391,Invalid,Treading water,M,39,Laceration to back,,Shark involvement not cofirmed,Injured,Regular Shark
392,Invalid,Swimming,M,,Parallel lacerations to torso inconsistent with shark bite,,No shark involvement,Injured,Regular Shark
393,Unprovoked,Spearfishing,F,23,Lacerations to lower leg & ankle,N,6' shark,Injured,Regular Shark
394,Unprovoked,,M,32,Lacerations to right hand & forearm,N,,Injured,Regular Shark
396,Unprovoked,Body boarding ,M,32,Significant injuries to lower legs,N,White shark,Injured,White Shark
397,Unprovoked,Swimming,M,68,"Injuries to torso, hip, lower leg & hands",N,6' to 7' shark,Injured,Regular Shark
398,Unprovoked,Surfing,M,,Hand bitten,N,,Injured,Regular Shark
399,Unprovoked,Playing in the water,M,12,Shallow lacerations & puncture to lateral left leg,N,4' to 5' shark,Injured,Regular Shark
400,Unprovoked,Swimming,M,18,"Injuries to right calf, buttock and both hands",N,Bull shark,Injured,Regular Shark
401,Unprovoked,Body Boarding,M,19,"Right leg severed, multiple lacerations to left leg",N,White shark,Injured,White Shark
402,Invalid,Swimming,F,,Minor lacerations to leg,,Shark involvement not confirmed,Injured,Regular Shark
403,Unprovoked,Surfing,M,23,Multiple lacerations to torso & leg,N,"White shark, 2m to 3 m",Injured,White Shark
404,Unprovoked,Standing,M,43,Puncture wounds to foot,N,4' shark,Injured,Regular Shark
405,Provoked,Swimming,M,19,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,Wobbegong shark,Injured,Regular Shark
406,Unprovoked,Body surfing?,M,47,Multiple lacerations to back,N,,Injured,Regular Shark
407,Unprovoked,Swimming,M,6,Minor injury to foot,N,Sandtiger shark,Injured,Regular Shark
408,Invalid,Surfing,F,37,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,White shark,Injured,White Shark
409,Unprovoked,Standing,M,9,Minor injury to calf ,N,small shark,Injured,Regular Shark
410,Unprovoked,Spearfishing,M,36,Injury to hand,N,,Injured,Regular Shark
411,Unprovoked,Swimming,M,10,Minor injury to calf ,N,,Injured,Regular Shark
412,Unprovoked,Wading,M,16,Arm amputated below shoulder,N,Bull shark,Injured,Regular Shark
413,Unprovoked,Wading,F,12,Left arm amputated at elbow & severe injury to leg,N,Bull shark,Injured,Regular Shark
414,Unprovoked,,F,,Severe laceration to leg,N,Mako shark,Injured,Regular Shark
415,Unprovoked,Boogie boarding,F,13,Minor lacerations to foot,N,4' shark,Injured,Regular Shark
416,Unprovoked,Playing,M,11,Lacerations to right calf,N,"Bull shark, 5'",Injured,Regular Shark
417,Unprovoked,Attempting to rescue a shark,F,17,Puncture wound to finger,N,small nurse shark,Injured,Regular Shark
418,Unprovoked,Surfing,M,47,Left forearm bitten,N,"Bull shark, 2.5 m",Injured,Regular Shark
419,Unprovoked,Standing,F,14,Left foot bitten,N,,Injured,Regular Shark
420,Unprovoked,Wading,F,19,Minor lacerations to dorsum of right foot,N,,Injured,Regular Shark
421,Unprovoked,Spearfishing,M,19,Lacerations to right forearm,N,1m to 1.2 m shark,Injured,Regular Shark
422,Unprovoked,Swimming,F,13,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,,Injured,Regular Shark
423,Unprovoked,Surfing,M,18,2 puncture wounds to  dorsum of left foot,N,5' shark,Injured,Regular Shark
424,Unprovoked,,M,30,Laceration to foot ,N,6' shark,Injured,Regular Shark
425,Unprovoked,Snorkeling,M,50,FATAL,Y,"Bull shark, 3.5 m",Injured,Regular Shark
426,Unprovoked,Swimming,M,,"Lacerations to lower left leg, ankle & foot",N,,Injured,Regular Shark
427,Unprovoked,Surfing,M,,Injuries to left arm & right hand,N,White shark,Injured,White Shark
428,Unprovoked,Diving,M,29,"Injuries to leg, left arm & both hands",N,"White shark, 3.5 m",Injured,White Shark
429,Unprovoked,Snorkeling,F,65,FATAL,Y,,Injured,Regular Shark
430,Unprovoked,Wading,M,63,Lacerations to left calf,N,3- to 4-foot shark,Injured,Regular Shark
431,Unprovoked,Surfing,M,26,Leg severed at mid-thigh,N,"White shark, 6 m",Injured,White Shark
433,Unprovoked,Photographing the shark,M,48,Lacerations to shoulder and left bicep,N,"Blue shark, 8 to 9 feet",Injured,Regular Shark
434,Unprovoked,Surfing,M,13,FATAL,Y,Bull shark,Injured,Regular Shark
435,Unprovoked,Paddle boarding,M,,Ankle injured,N,,Injured,Regular Shark
436,Unprovoked,Spearfishing,M,70,Injuries to head & torso,N,Bull shark,Injured,Regular Shark
437,Invalid,Diving,M,43,"FATAL, but shark involvement prior to death unconfirmed",,Shark involvement not cofirmed,Injured,Regular Shark
438,Invalid,Surfing,M,23,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,,No shark involvement,Injured,Regular Shark
440,Unprovoked,Swimming,M,52,FATAL,Y,Mako shark,Injured,Regular Shark
441,Unprovoked,Standing / Snorkeling,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,N,"Tiger shark, 8 to 12 feet",Injured,Tiger Shark
442,Unprovoked,Hand feeding sharks,M,9,Hand bitten,N,Blacktip shark,Injured,Regular Shark
443,Boating,Fishing,M,,Bruised in falling overboard as shark bumped boat,N,,Injured,Regular Shark
444,Provoked,Fishing,M,36,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,Injured,Regular Shark
445,Unprovoked,Sitting in the water,M,18 months,Thigh bitten,N,Blacktip Reef shark ,Injured,Regular Shark
447,Unprovoked,Swimming,F,22,FATAL,Y,"Tiger shark, 3.5 m",Injured,Tiger Shark
448,Unprovoked,Surfing,M,41,FATAL,Y,3.5 to 4 m shark,Injured,Regular Shark
449,Unprovoked,Surfing,M,35,Laceration & puncture wounds to right flank & hip,N,2 m to  3 m shark,Injured,Regular Shark
450,Unprovoked,Bodysurfing,M,,5 minor puncture wounds to lower left leg,N,1.8 m shark,Injured,Regular Shark
452,Provoked,Shark fishing,M,20,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,4' shark,Injured,Regular Shark
454,Unprovoked,Floating,M,24,Foot bitten,N,,Injured,Regular Shark
456,Invalid,Surfing & filming dolphins,F,,Board snapped in two,,Shark involvement not confirmed,Injured,Regular Shark
458,Unprovoked,Filming,M,17,Bitten on hand & wrist,N,1.5 m shark,Injured,Regular Shark
459,Invalid,Swimming after falling overboard,M,38,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",,No shark involvement,Injured,Regular Shark
460,Unprovoked,Snorkeling,F,34,Severe bite to right flank,N,White shark or oceanic whitetip shark,Injured,White Shark
461,Unprovoked,Surfing,M,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,"Raggedtooth shark, 1.3 m",Injured,Regular Shark
462,Unprovoked,,M,12,Leg bitten,N,"""A small shark""",Injured,Regular Shark
463,Unprovoked,Surfing,,,Lacerations to both feet,N,2 m shark,Injured,Regular Shark
464,Unprovoked,Spearfishing,M,17,FATAL,Y,"White shark, 4 to 5 m",Injured,White Shark
465,Sea Disaster,,,,"Of 9 bodies recovered, one was bitten by a shark",N,Shark involvement prior to death still to be determined,Injured,Regular Shark
466,Invalid,Swimming,,,Minor cuts on feet,,Shark involvement not confirmed & highly unlikely,Injured,Regular Shark
467,Unprovoked,Surfing,M,50,Injury to hip/leg,N,"White shark, 8' to 10'",Injured,White Shark
468,Provoked,Fishing,M,40s,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N,1.5 m shark,Injured,Regular Shark
470,Unprovoked,Spearfishing,M,17,FATAL,Y,Tiger shark,Injured,Tiger Shark
471,Provoked,Fishing for blue sharks,M,,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N,,Injured,Regular Shark
472,Unprovoked,Surfing,M,13,Minor injuries to right leg,N,,Injured,Regular Shark
473,Provoked,Fishing,M,39,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y,,Injured,Regular Shark
476,Unprovoked,Surfing,M,44,Laceration to left hand,N,2' shark,Injured,Regular Shark
477,Unprovoked,Snorkeling,M,53,Laceration to left upper leg,N,1.5 m shark,Injured,Regular Shark
478,Unprovoked,Surfing,M,,Minor injury to lower leg and foot,N,,Injured,Regular Shark
479,Unprovoked,Surfing,M,18,Minor injuries to hand & arm ,N,,Injured,Regular Shark
480,Unprovoked,Surfing,F,34,Lacerations to fingers,N,"Tiger shark, 12'",Injured,Tiger Shark
481,Provoked,Surfing,M,20,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N,,Injured,Regular Shark
486,Unprovoked,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N,1 m shark,Injured,Regular Shark
487,Unprovoked,Standing in inner tube,F,7,Lacerations to left foot,N,"Bull shark, 3' to 4'",Injured,Regular Shark
488,Unprovoked,Body surfing or Boogie boarding,F,,Laceration to right hand/wrist,N,,Injured,Regular Shark
490,Unprovoked,Surfing,M,29,Foot bitten,N,Blacktip shark,Injured,Regular Shark
491,Unprovoked,Fishing,F,40,Thigh bitten,N,,Injured,Regular Shark
492,Unprovoked,Surfing,M,15,Foot bitten,N,Blacktip shark,Injured,Regular Shark
495,Unprovoked,Surfing,M,28,Lacerations to knee,N,8' to 10' shark,Injured,Regular Shark
496,Unprovoked,Surfing,M,23,"Left arm & right hand severed, lacerations to both legs",N,"2 white shark: 13' & 9""8""",Injured,White Shark
497,Unprovoked,Surfing,M,,Minor injury to left foot,N,,Injured,Regular Shark
498,Unprovoked,Feeding fish,F,36,Thumb & finger nipped,N,Blacktip shark,Injured,Regular Shark
500,Unprovoked,Swimming,M,50,FATAL,Y,7' shark,Injured,Regular Shark
501,Unprovoked,Fishing ,M,43,Leg bitten,N,Bull shark,Injured,Regular Shark
503,Provoked,Fishing,M,52,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,3' to 4' shark,Injured,Regular Shark
504,Unprovoked,Playing with an air mattress,M,16,Lacerations to right hand,N,,Injured,Regular Shark
505,Unprovoked,Body surfing,F,13,Injury to left calf,N,Spinner shark,Injured,Regular Shark
506,Unprovoked,Surfing,M,17,Lacerations to shin,N,Spinner shark or blacktip shark,Injured,Regular Shark
507,Invalid,,,,Shark involvement not confirmed,,Shark involvement not confirmed,Injured,Regular Shark
508,Provoked,Fishing,M,33,Lacerations to foot by hooked shark PROVOKED INCIDENT,N,,Injured,Regular Shark
509,Unprovoked,Swimming,F,30s,Minor lacerations to posterior lower leg,N,small shark,Injured,Regular Shark
510,Unprovoked,Surfing,M,29,Laceration to left hand,N,4' to 6' shark,Injured,Regular Shark
511,Unprovoked,Standing,F,,Heel bitten,N,,Injured,Regular Shark
512,Provoked,Fishing for sharks,M,,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N,"Bull shark, 4.5' ",Injured,Regular Shark
513,Unprovoked,Kite boarding,,,Laceration to left foot,N,4' shark,Injured,Regular Shark
514,Unprovoked,Spearfishing,M,31,Lacerations to face and neck,N,reef shark,Injured,Regular Shark
515,Unprovoked,Standing,M,,Puncture wounds and lacerations to left thigh and knee,N," Bull shark, 8'",Injured,Regular Shark
516,Unprovoked,,M,26,Puncture wounds & lacerations to foot,N,,Injured,Regular Shark
517,Unprovoked,Spearfishing,M,,Puncture wounds to right foot and ankle,N,"Bull shark, 9' to 10'",Injured,Regular Shark
518,Unprovoked,Swimming,F,10,Puncture wounds to right foot & ankle,N,,Injured,Regular Shark
519,Unprovoked,Swimming,M,7,Minor lacerations to left heel and big toe,N," Bull shark, 5'",Injured,Regular Shark
520,Unprovoked,Boogie boarding,M,10,Lacerations to right leg & foot,N,4' tp 5' shark,Injured,Regular Shark
521,Unprovoked,Swimming,F,45,Lacerations to  foot,N,,Injured,Regular Shark
522,Unprovoked,Surfing,M,50s,Foot bitten,N,,Injured,Regular Shark
523,Unprovoked,Boogie boarding,M,8,Laceration to ankle,N,,Injured,Regular Shark
524,Unprovoked,Surfing,M,20,Lower limbs & thigh bitten,N,White shark,Injured,White Shark
525,Invalid,Sea disaster,M,,Shark involvement prior to death not confirmed,,Shark involvement not confirmed,Injured,Regular Shark
526,Unprovoked,Swimming,M,Teen,Left foot bitten,N,Possibly juvenile tiger shark,Injured,Tiger Shark
527,Unprovoked,Surfing,M,51,Lacerations to right wrist & calf,N,1.8 metre shark,Injured,Regular Shark
528,Unprovoked,Standing,M,8,Lacerations to right knee,N,,Injured,Regular Shark
529,Unprovoked,Wading,,,Minor injury,N,Angel shark,Injured,Regular Shark
530,Unprovoked,Swimming,M,61,Lacerations to left foot,N,6' to 8' shark,Injured,Regular Shark
531,Unprovoked,Swimming,M,39,Puncture wounds to foot,N,4' shark,Injured,Regular Shark
532,Invalid,Shark diving,M,63,"Missing after a dive, shark involvement considered probable, but not confirmed",,Shark involvement not confirmed,Injured,Regular Shark
533,Unprovoked,Body surfing,M,,Lacerations to hand and wrist,N,,Injured,Regular Shark
534,Unprovoked,Surfing,M,14,Lacerations to foot,N,,Injured,Regular Shark
535,Provoked,Swimming,M,,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N," White shark, 7' ",Injured,White Shark
537,Unprovoked,Body surfing,M,19,Right hand bitten,N,4' to 5' shark,Injured,Regular Shark
538,Boat,Transatlantic Rowing,M,48,His boat was holed by a shark,N,Oceanic whitetip shark',Injured,White Shark
541,Unprovoked,Body boarding,M,15,Lacerations to knee,N,,Injured,Regular Shark
542,Provoked,Petting a shark,M,,Lacerations to right hand by captive shark PROVOKED INCIDENT,N," Lemon shark, 3.5 m",Injured,Regular Shark
543,Unprovoked,Fishing,M,43,Severe injury to arm,N,,Injured,Regular Shark
544,Unprovoked,Standing,M,16,"Abrasion to right hand, lacerations to left forearm",N," Sandbar shark, 3' to 4'",Injured,Regular Shark
545,Unprovoked,Body boarding,M,39,Minor injury to torso,N,"Bronze whaler shark, 1.5m",Injured,Regular Shark
546,Unprovoked,Surfing,M,43,Left arm bitten,N,,Injured,Regular Shark
547,Unprovoked,Kneeling in the water,F,14,Shallow lacerations & puncture wounds below shoulder,N,,Injured,Regular Shark
548,Unprovoked,Swimming,F,22,Laceration to right lower leg,N,Bull shark,Injured,Regular Shark
549,Unprovoked,Surfing,M,,Lacerations & puncture wounds to ankle and foot,N,,Injured,Regular Shark
550,Unprovoked,Tagging sharks,F,37,Laceration to left hand,N,Blacktip Reef shark ,Injured,Regular Shark
551,Unprovoked,Fell into the water,F,29,Lacerations to legs,N," Bull shark, 1.2m ",Injured,Regular Shark
552,Unprovoked,Scuba diving,M,,Lacerations to left thigh and hip,N,3m shark,Injured,Regular Shark
553,Provoked,Teasing a shark,M,10,Cut to tip of finger by a captive shark PROVOKED INCIDENT,N," Tawney nurse shark, 1m",Injured,Regular Shark
554,Unprovoked,Body boarding,F,38,Calf bitten,N,,Injured,Regular Shark
556,Unprovoked,Wading,F,44,Lacerations and puncture wounds to right foot,N,,Injured,Regular Shark
557,Unprovoked,Surfing,M,12,Puncture wounds to right thigh,N,Shark involvement not confirmed,Injured,Regular Shark
559,Unprovoked,Swimming,F,40,Lacerations to left foot,N,4' to 5' shark,Injured,Regular Shark
560,Unprovoked,Diving,,,4-inch laceration to arm,N,Cow shark,Injured,Regular Shark
561,Unprovoked,Surfing,M,23,Laceration to right hand and cuts on fingertips,N,3' shark,Injured,Regular Shark
562,Unprovoked,Spearfishing,M,,Minor injury,N,reef shark?,Injured,Regular Shark
563,Unprovoked,Swimming,M ,42,Laceration & puncture wounds to right foot,N,,Injured,Regular Shark
564,Unprovoked,Wading,M,25,Minor lacerations to left foot,N,,Injured,Regular Shark
566,Provoked,Fishing,M,,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,N," Raggedtooth shark, 2m",Injured,Regular Shark
567,Unprovoked,Surfing,M,teen,Minor puncture wounds to lower left leg,N,,Injured,Regular Shark
568,Unprovoked,Surfing,M,teen,Lacerations to foot,N,,Injured,Regular Shark
569,Unprovoked,Swimming,F,63,FATAL,Y,3 m to 4 m white shark,Injured,White Shark
570,Invalid,Diving for lobsters,M,38,Shark bites may have been post mortem,,Shark involvement prior to death not confirmed,Injured,Regular Shark
571,Unprovoked,Swimming,M,66,FATAL,Y,2 m shark,Injured,Regular Shark
572,Unprovoked,Kite Surfing,M,,Lacerations to left forearm,N,4' to 5' shark,Injured,Regular Shark
